Title,Old Price,Discounted Price,Discount %,Link,Promo Note
Woolworths NZ Beef Mince Grass Fed 18% Fat 1kg,21.99,18.99,13.6,https://www.woolworths.co.nz/shop/product-details/woolworths-nz-beef-mince-grass-fed-18-fat,SAVE $3.00
Woolworths NZ Chicken Breast Skinless Boneless Min Order 1kg,15.4,12.99,15.6,https://www.woolworths.co.nz/shop/product-details/woolworths-nz-chicken-breast-skinless-boneless,SAVE $2.41
Woolworths Instore Deli Champagne Ham Shaved min order 50g,24.9,22,11.6,https://www.woolworths.co.nz/shop/product-details/woolworths-instore-deli-champagne-ham-shaved,SAVE $2.90
Hellers Sausages London Pride 6 Pack,10.49,8.9,15.2,https://www.woolworths.co.nz/shop/product-details/hellers-sausages-london-pride,SAVE $1.59
Paseo Luxury Toilet Paper 8pk Long Roll White 3 Ply,10.2,8.79,13.8,https://www.woolworths.co.nz/shop/product-details/paseo-luxury-toilet-paper-8pk-long-roll-white-3-ply,SAVE $1.41
Bluebird Burger Rings Corn Snacks Full On Flavour 120g,3.6,1.8,50.0,https://www.woolworths.co.nz/shop/product-details/bluebird-burger-rings-corn-snacks-full-on-flavour,
Henergy Eggs Cage Free Size 6 12 Pack,9.45,7.15,24.3,https://www.woolworths.co.nz/shop/product-details/henergy-eggs-cage-free-size-6,SAVE $2.30
Paseo Tissues Pure White 190 Pack,3.15,1.79,43.2,https://www.woolworths.co.nz/shop/product-details/paseo-tissues-pure-white,SAVE $1.36
Woolworths Bread Rolls Dinner 12 Pack,4.29,3,30.1,https://www.woolworths.co.nz/shop/product-details/woolworths-bread-rolls-dinner,SAVE $1.29
Fantastic Rice Crackers Original 100g,2.25,2,11.1,https://www.woolworths.co.nz/shop/product-details/fantastic-rice-crackers-original,SAVE $0.25
Bluebird Cheezels Corn Snacks Cheese 120g,3.6,1.8,50.0,https://www.woolworths.co.nz/shop/product-details/bluebird-cheezels-corn-snacks-cheese,
Whittaker's Chocolate Creamy Milk 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/whittaker-s-chocolate-creamy-milk,SAVE $1.00
Woolworths NZ Lamb Shoulder Chops Grass Fed Min Order 800g,23.95,17.99,24.9,https://www.woolworths.co.nz/shop/product-details/woolworths-nz-lamb-shoulder-chops-grass-fed,SAVE $5.96
Fantastic Rice Crackers BBQ 100g,2.25,2,11.1,https://www.woolworths.co.nz/shop/product-details/fantastic-rice-crackers-bbq,SAVE $0.25
